Date : 2021-09-04 17:41:55
Directory : /Users/xiaoyn/Desktop/workingFiles/project180007
Total : 134 files,  22607 codes, 477 comments, 2275 blanks, all 25359 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Log        |          1 |     10,376 |          0 |      1,577 |     11,953 |
| Vue        |         56 |      7,673 |        134 |        289 |      8,096 |
| JavaScript |         65 |      4,062 |        324 |        337 |      4,723 |
| Less       |          5 |        270 |          9 |         45 |        324 |
| JSON       |          3 |         78 |          3 |          3 |         84 |
| XML        |          1 |         68 |          1 |          0 |         69 |
| Markdown   |          1 |         37 |          0 |         18 |         55 |
| HTML       |          1 |         25 |          0 |          1 |         26 |
| Properties |          1 |         18 |          6 |          5 |         29 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        134 |     22,607 |        477 |      2,275 |     25,359 |
| config                                                                                                            |          2 |        156 |          3 |          7 |        166 |
| deploy                                                                                                            |          1 |         18 |          6 |          5 |         29 |
| public                                                                                                            |          1 |         25 |          0 |          1 |         26 |
| src                                                                                                               |        118 |     11,658 |        443 |        643 |     12,744 |
| src/api                                                                                                           |          7 |        656 |         87 |         41 |        784 |
| src/appCore                                                                                                       |         46 |      2,121 |        195 |        252 |      2,568 |
| src/appCore/components                                                                                            |          8 |        412 |         26 |         34 |        472 |
| src/appCore/components/GlobalFooter                                                                               |          1 |         26 |          0 |          3 |         29 |
| src/appCore/components/GlobalHeader                                                                               |          4 |        297 |          5 |         11 |        313 |
| src/appCore/components/NProgress                                                                                  |          1 |         59 |          3 |         15 |         77 |
| src/appCore/components/_util                                                                                      |          1 |         26 |         17 |          4 |         47 |
| src/appCore/config                                                                                                |          1 |         17 |         14 |          3 |         34 |
| src/appCore/core                                                                                                  |          4 |        192 |         21 |         18 |        231 |
| src/appCore/core/directives                                                                                       |          1 |         19 |         13 |          3 |         35 |
| src/appCore/core/permission                                                                                       |          1 |         46 |          5 |          5 |         56 |
| src/appCore/layouts                                                                                               |          7 |        355 |         15 |         51 |        421 |
| src/appCore/locales                                                                                               |          5 |        174 |          3 |         19 |        196 |
| src/appCore/locales/lang                                                                                          |          4 |        128 |          0 |          8 |        136 |
